open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,tkbbav,tkqav,ign.
1540857600000,0.031041000000000006,0.03124,0.030922,0.031164,119787.712,1540943999999,3720.70521518,122923,59393.404,1845.14941607,0
1540944000000,0.031165,0.031344,0.03085,0.03119,132035.656,1541030399999,4108.21678165,136294,68538.771,2132.94917466,0
1541030400000,0.03119,0.03129,0.0311,0.031184,115155.445,1541116799999,3589.59122785,113603,62703.525,1954.84477315,0
1541116800000,0.031184,0.031687,0.0311,0.031464,133957.915,1541203199999,4198.0000326,115666,72879.893,2283.36849671,0
1541203200000,0.031464,0.031485,0.0313,0.031353,84467.213,1541289599999,2651.2068972,82087,43036.908,1350.91508929,0
1541289600000,0.031353,0.033577,0.031264,0.032705,201761.826,1541375999999,6487.87005926,156276,103560.6,3326.9876440000007,0
1541376000000,0.032705,0.032845,0.0322,0.032573000000000005,143719.90099999998,1541462399999,4668.39992396,123279,73136.008,2375.31971265,0
1541462400000,0.032561,0.033921,0.032401,0.033869,195035.061,1541548799999,6462.94381102,173034,91851.136,3042.44721963,0
1541548800000,0.033869,0.034084,0.033175,0.033308,185653.554,1541635199999,6234.51477229,170529,87447.615,2937.0445953000008,0
1541635200000,0.033309,0.03356,0.0328,0.032851,155000.223,1541721599999,5124.74863439,160377,78330.771,2590.16312074,0
1541721600000,0.032851,0.033155000000000004,0.03263,0.032844,114030.439,1541807999999,3751.89248986,122905,59772.138,1966.95308342,0
1541808000000,0.03285,0.033358,0.0328,0.033136,84544.24699999999,1541894399999,2797.37044585,103958,42366.476,1402.03988999,0
1541894400000,0.033136,0.033218,0.0328,0.032976,86448.707,1541980799999,2854.45733232,101288,41083.57700000001,1357.03890984,0
1541980800000,0.032976,0.033132,0.032801,0.03299,103848.438,1542067199999,3425.46540845,115938,46886.15900000001,1546.65419092,0
1542067200000,0.032987,0.03305,0.032349,0.032479,124181.665,1542153599999,4062.89289773,126230,63653.68,2083.19438778,0
