,time,price,signal
3268,1513335600000,0.03639,hold
3269,1513339200000,0.035954,hold
3270,1513342800000,0.036535,hold
3271,1513346400000,0.037809,hold
3272,1513350000000,0.038038,hold
3273,1513353600000,0.039034,hold
3274,1513357200000,0.038873,hold
3275,1513360800000,0.0389,hold
3276,1513364400000,0.03815,hold
3277,1513368000000,0.038398,hold
3278,1513371600000,0.038413,hold
3279,1513375200000,0.038806,hold
3280,1513378800000,0.03868,hold
3281,1513382400000,0.038579,hold
3282,1513386000000,0.03924,hold
3283,1513389600000,0.040157,hold
3284,1513393200000,0.040192,hold
3285,1513396800000,0.039956,hold
3286,1513400400000,0.039607,hold
3287,1513404000000,0.039682,hold
3288,1513407600000,0.038541,hold
3289,1513411200000,0.038488,hold
3290,1513414800000,0.038639,hold
3291,1513418400000,0.03866,hold
3292,1513422000000,0.038591,hold
3293,1513425600000,0.038868,hold
3294,1513429200000,0.038726,hold
3295,1513432800000,0.037417,hold
3296,1513436400000,0.036702,hold
3297,1513440000000,0.035876,hold
3298,1513443600000,0.036619,hold
3299,1513447200000,0.036628,hold
3300,1513450800000,0.036265,hold
3301,1513454400000,0.034895,hold
3302,1513458000000,0.035425,hold
3303,1513461600000,0.035501,hold
3304,1513465200000,0.035153,hold
3305,1513468800000,0.03556,hold
3306,1513472400000,0.03677,hold
3307,1513476000000,0.037068,hold
3308,1513479600000,0.037,hold
3309,1513483200000,0.037379,hold
3310,1513486800000,0.037636,hold
3311,1513490400000,0.037202,hold
3312,1513494000000,0.037033,hold
3313,1513497600000,0.03661,hold
3314,1513501200000,0.036835,hold
3315,1513504800000,0.036385,hold
3316,1513508400000,0.036406,hold
3317,1513512000000,0.0361,hold
3318,1513515600000,0.036236,hold
3319,1513519200000,0.036072,hold
3320,1513522800000,0.036609,hold
3321,1513526400000,0.036641,hold
3322,1513530000000,0.036831,hold
3323,1513533600000,0.03689,hold
3324,1513537200000,0.038333,hold
3325,1513540800000,0.037836,hold
3326,1513544400000,0.0377,hold
3327,1513548000000,0.03829,hold
3328,1513551600000,0.037023,hold
3329,1513555200000,0.037343,hold
3330,1513558800000,0.038115,hold
3331,1513562400000,0.037649,hold
3332,1513566000000,0.037935,hold
3333,1513569600000,0.038026,hold
3334,1513573200000,0.037581,hold
3335,1513576800000,0.037533,hold
3336,1513580400000,0.037531,hold
3337,1513584000000,0.037691,hold
3338,1513587600000,0.037936,hold
3339,1513591200000,0.038193,hold
3340,1513594800000,0.038804,hold
3341,1513598400000,0.038586,hold
3342,1513602000000,0.038391,hold
3343,1513605600000,0.038586,hold
3344,1513609200000,0.038825,hold
3345,1513612800000,0.038737,hold
3346,1513616400000,0.039607,hold
3347,1513620000000,0.039642,hold
3348,1513623600000,0.040998,hold
3349,1513627200000,0.041161,hold
3350,1513630800000,0.041325,hold
3351,1513634400000,0.042609,hold
3352,1513638000000,0.04213,hold
3353,1513641600000,0.04153,hold
3354,1513645200000,0.041515,hold
3355,1513648800000,0.042762,hold
3356,1513652400000,0.043583,hold
3357,1513656000000,0.043249,hold
3358,1513659600000,0.043546,hold
3359,1513663200000,0.044131,hold
3360,1513666800000,0.0452,hold
3361,1513670400000,0.044921,hold
3362,1513674000000,0.045823,hold
3363,1513677600000,0.046228,hold
3364,1513681200000,0.044914,hold
3365,1513684800000,0.045982,hold
3366,1513688400000,0.045394,hold
3367,1513692000000,0.046597,hold
3368,1513695600000,0.046284,hold
3369,1513699200000,0.045939,hold
3370,1513702800000,0.045447,hold
3371,1513706400000,0.045629,hold
3372,1513710000000,0.045875,hold
3373,1513713600000,0.046459,hold
3374,1513717200000,0.046457,hold
3375,1513720800000,0.045656,hold
3376,1513724400000,0.046225,hold
3377,1513728000000,0.046229,hold
3378,1513731600000,0.045109,hold
3379,1513735200000,0.046414,hold
3380,1513738800000,0.046106,hold
3381,1513742400000,0.046607,hold
3382,1513746000000,0.046453,hold
3383,1513749600000,0.046916,hold
3384,1513753200000,0.046758,hold
3385,1513756800000,0.04678,hold
3386,1513760400000,0.047006,hold
3387,1513764000000,0.047116,hold
3388,1513767600000,0.046552,hold
3389,1513771200000,0.04669,hold
3390,1513774800000,0.04652,hold
3391,1513778400000,0.046816,hold
3392,1513782000000,0.046852,hold
3393,1513785600000,0.048001,hold
3394,1513789200000,0.047668,hold
3395,1513792800000,0.047385,hold
3396,1513796400000,0.047905,hold
3397,1513800000000,0.048177,hold
3398,1513803600000,0.048434,hold
3399,1513807200000,0.048316,hold
3400,1513810800000,0.048052,hold
3401,1513814400000,0.048266,hold
3402,1513818000000,0.047996,hold
3403,1513821600000,0.048297,hold
3404,1513825200000,0.048526,hold
3405,1513828800000,0.048202,hold
3406,1513832400000,0.049231,hold
3407,1513836000000,0.049533,hold
3408,1513839600000,0.049163,hold
3409,1513843200000,0.04874,hold
3410,1513846800000,0.049439,hold
3411,1513850400000,0.049659,hold
3412,1513854000000,0.050097,hold
3413,1513857600000,0.050175,hold
3414,1513861200000,0.05024,hold
3415,1513864800000,0.050275,hold
3416,1513868400000,0.050164,hold
3417,1513872000000,0.050314,hold
3418,1513875600000,0.050072,hold
3419,1513879200000,0.050645,hold
3420,1513882800000,0.051421,hold
3421,1513886400000,0.050646,hold
3422,1513890000000,0.050191,hold
3423,1513893600000,0.049767,hold
3424,1513897200000,0.050509,hold
3425,1513900800000,0.05058,hold
3426,1513904400000,0.050819,hold
3427,1513908000000,0.05085,hold
3428,1513911600000,0.050637,hold
3429,1513915200000,0.048208,hold
3430,1513918800000,0.048965,hold
3431,1513922400000,0.049399,hold
3432,1513926000000,0.049147,hold
3433,1513929600000,0.047455,hold
3434,1513933200000,0.048087,hold
3435,1513936800000,0.0489,hold
3436,1513940400000,0.048246,hold
3437,1513944000000,0.048165,hold
3438,1513947600000,0.047761,hold
3439,1513951200000,0.047407,hold
3440,1513954800000,0.046441,hold
3441,1513958400000,0.04827,hold
3442,1513962000000,0.04841,hold
3443,1513965600000,0.04811,hold
3444,1513969200000,0.048102,hold
3445,1513972800000,0.047741,hold
3446,1513976400000,0.04715,hold
3447,1513980000000,0.047606,hold
3448,1513983600000,0.047256,hold
3449,1513987200000,0.047601,hold
3450,1513990800000,0.048015,hold
3451,1513994400000,0.048822,hold
3452,1513998000000,0.048666,hold
3453,1514001600000,0.048789,hold
3454,1514005200000,0.048658,hold
3455,1514008800000,0.04859,hold
3456,1514012400000,0.048863,hold
3457,1514016000000,0.048906,hold
3458,1514019600000,0.04891,hold
3459,1514023200000,0.048792,hold
3460,1514026800000,0.04852,hold
3461,1514030400000,0.0483,hold
3462,1514034000000,0.048094,hold
3463,1514037600000,0.048163,hold
3464,1514041200000,0.048089,hold
3465,1514044800000,0.048079,hold
3466,1514048400000,0.048067,hold
3467,1514052000000,0.047949,hold
3468,1514055600000,0.048016,hold
3469,1514059200000,0.048148,hold
3470,1514062800000,0.048198,hold
3471,1514066400000,0.047903,hold
3472,1514070000000,0.047864,hold
3473,1514073600000,0.04814,hold
3474,1514077200000,0.048115,hold
3475,1514080800000,0.048137,hold
3476,1514084400000,0.047983,hold
3477,1514088000000,0.048092,hold
3478,1514091600000,0.048406,hold
3479,1514095200000,0.048383,hold
3480,1514098800000,0.048446,hold
3481,1514102400000,0.048235,hold
3482,1514106000000,0.048315,hold
3483,1514109600000,0.048286,hold
3484,1514113200000,0.048242,hold
3485,1514116800000,0.04797,hold
3486,1514120400000,0.048366,hold
3487,1514124000000,0.048229,hold
3488,1514127600000,0.048054,hold
3489,1514131200000,0.048532,hold
3490,1514134800000,0.048656,hold
3491,1514138400000,0.048665,hold
3492,1514142000000,0.048797,hold
3493,1514145600000,0.048729,hold
3494,1514149200000,0.04859,hold
3495,1514152800000,0.048963,hold
3496,1514156400000,0.048731,hold
3497,1514160000000,0.048765,hold
3498,1514163600000,0.050188,hold
3499,1514167200000,0.051414,hold
3500,1514170800000,0.051893,hold
3501,1514174400000,0.052511,hold
3502,1514178000000,0.051785,hold
3503,1514181600000,0.051845,hold
3504,1514185200000,0.051664,hold
3505,1514188800000,0.05159,hold
3506,1514192400000,0.051542,hold
3507,1514196000000,0.052038,hold
3508,1514199600000,0.052128,hold
3509,1514203200000,0.052126,hold
3510,1514206800000,0.052009,hold
3511,1514210400000,0.051931,hold
3512,1514214000000,0.052163,hold
3513,1514217600000,0.052246,hold
3514,1514221200000,0.051988,hold
3515,1514224800000,0.052207,hold
3516,1514228400000,0.051912,hold
3517,1514232000000,0.052371,hold
3518,1514235600000,0.052941,hold
3519,1514239200000,0.052813,hold
3520,1514242800000,0.052601,hold
3521,1514246400000,0.052059,hold
3522,1514250000000,0.052317,hold
3523,1514253600000,0.052671,hold
3524,1514257200000,0.05333,hold
3525,1514260800000,0.051975,hold
3526,1514264400000,0.049698,hold
3527,1514268000000,0.049023,hold
3528,1514271600000,0.048377,hold
3529,1514275200000,0.0493,hold
3530,1514278800000,0.050127,hold
3531,1514282400000,0.049529,hold
3532,1514286000000,0.049606,hold
3533,1514289600000,0.049651,hold
3534,1514293200000,0.049002,hold
3535,1514296800000,0.048608,hold
3536,1514300400000,0.046452,hold
3537,1514304000000,0.047207,hold
3538,1514307600000,0.04661,hold
3539,1514311200000,0.047095,hold
3540,1514314800000,0.0475,hold
3541,1514318400000,0.04716,hold
3542,1514322000000,0.046907,hold
3543,1514325600000,0.046707,hold
3544,1514329200000,0.047141,hold
3545,1514332800000,0.047806,hold
3546,1514336400000,0.048037,hold
3547,1514340000000,0.047688,hold
3548,1514343600000,0.047727,hold
3549,1514347200000,0.048015,hold
3550,1514350800000,0.046451,hold
3551,1514354400000,0.046618,hold
3552,1514358000000,0.046591,hold
3553,1514361600000,0.047394,hold
3554,1514365200000,0.047425,hold
3555,1514368800000,0.047558,hold
3556,1514372400000,0.04769,hold
3557,1514376000000,0.048053,hold
3558,1514379600000,0.047754,hold
3559,1514383200000,0.047976,hold
3560,1514386800000,0.048113,hold
3561,1514390400000,0.048322,hold
3562,1514394000000,0.04846,hold
3563,1514397600000,0.048602,hold
3564,1514401200000,0.048644,hold
3565,1514404800000,0.04869,hold
3566,1514408400000,0.048859,hold
3567,1514412000000,0.04818,hold
3568,1514415600000,0.047971,hold
3569,1514419200000,0.047804,hold
3570,1514422800000,0.0483,hold
3571,1514426400000,0.047956,hold
3572,1514430000000,0.048411,hold
3573,1514433600000,0.048911,hold
3574,1514437200000,0.048892,hold
3575,1514440800000,0.049635,hold
3576,1514444400000,0.049537,hold
3577,1514448000000,0.04915,hold
3578,1514451600000,0.049235,hold
3579,1514455200000,0.048747,hold
3580,1514458800000,0.049316,hold
3581,1514462400000,0.049251,hold
3582,1514466000000,0.049504,hold
3583,1514469600000,0.049669,hold
3584,1514473200000,0.04976,hold
3585,1514476800000,0.04997,hold
3586,1514480400000,0.049855,hold
3587,1514484000000,0.049707,hold
3588,1514487600000,0.050501,hold
3589,1514491200000,0.05014,hold
3590,1514494800000,0.050257,hold
3591,1514498400000,0.050215,hold
3592,1514502000000,0.050372,hold
3593,1514505600000,0.049883,hold
3594,1514509200000,0.050214,hold
3595,1514512800000,0.050318,hold
3596,1514516400000,0.049585,hold
3597,1514520000000,0.049959,hold
3598,1514523600000,0.050147,hold
3599,1514527200000,0.05003,hold
3600,1514530800000,0.050208,hold
3601,1514534400000,0.050664,hold
3602,1514538000000,0.050701,hold
3603,1514541600000,0.050473,hold
3604,1514545200000,0.05081,hold
3605,1514548800000,0.050964,hold
3606,1514552400000,0.05104,hold
3607,1514556000000,0.051699,hold
3608,1514559600000,0.051606,hold
3609,1514563200000,0.051605,hold
3610,1514566800000,0.051118,hold
3611,1514570400000,0.050924,hold
3612,1514574000000,0.050879,hold
3613,1514577600000,0.051119,hold
3614,1514581200000,0.050993,hold
3615,1514584800000,0.050955,hold
3616,1514588400000,0.050826,hold
3617,1514592000000,0.051021,hold
3618,1514595600000,0.050941,hold
3619,1514599200000,0.05147,hold
3620,1514602800000,0.051743,hold
3621,1514606400000,0.051481,hold
3622,1514610000000,0.05156,hold
3623,1514613600000,0.051873,hold
3624,1514617200000,0.051868,hold
3625,1514620800000,0.051801,hold
3626,1514624400000,0.05228,hold
3627,1514628000000,0.052847,hold
3628,1514631600000,0.05325,hold
3629,1514635200000,0.053035,hold
3630,1514638800000,0.053616,hold
3631,1514642400000,0.054286,hold
3632,1514646000000,0.054907,hold
3633,1514649600000,0.054588,hold
3634,1514653200000,0.055218,hold
3635,1514656800000,0.054157,hold
3636,1514660400000,0.054839,hold
3637,1514664000000,0.053742,hold
3638,1514667600000,0.054278,hold
3639,1514671200000,0.05507,hold
3640,1514674800000,0.054855,hold
3641,1514678400000,0.05506,hold
3642,1514682000000,0.054595,hold
3643,1514685600000,0.054125,hold
3644,1514689200000,0.053191,hold
3645,1514692800000,0.05363,hold
3646,1514696400000,0.054117,hold
3647,1514700000000,0.054496,hold
3648,1514703600000,0.05489,hold
3649,1514707200000,0.054476,hold
3650,1514710800000,0.054864,hold
3651,1514714400000,0.05494,hold
3652,1514718000000,0.054774,hold
3653,1514721600000,0.054756,hold
3654,1514725200000,0.054788,hold
3655,1514728800000,0.05468,hold
3656,1514732400000,0.05469,hold
3657,1514736000000,0.054399,hold
3658,1514739600000,0.052626,hold
3659,1514743200000,0.053115,hold
3660,1514746800000,0.053147,hold
3661,1514750400000,0.053189,hold
3662,1514754000000,0.052841,hold
3663,1514757600000,0.052936,hold
3664,1514761200000,0.05319,hold
3665,1514764800000,0.053586,hold
3666,1514768400000,0.053828,hold
3667,1514772000000,0.054403,hold
3668,1514775600000,0.054206,hold
3669,1514779200000,0.05472,hold
3670,1514782800000,0.054827,hold
3671,1514786400000,0.055388,hold
3672,1514790000000,0.055342,hold
3673,1514793600000,0.05539,hold
3674,1514797200000,0.055179,hold
3675,1514800800000,0.055356,hold
3676,1514804400000,0.055838,hold
3677,1514808000000,0.056117,hold
3678,1514811600000,0.056711,hold
3679,1514815200000,0.056849,hold
3680,1514818800000,0.056269,hold
3681,1514822400000,0.05655,hold
3682,1514826000000,0.056792,hold
3683,1514829600000,0.056573,hold
3684,1514833200000,0.056562,hold
3685,1514836800000,0.05642,hold
3686,1514840400000,0.056522,hold
3687,1514844000000,0.056206,hold
3688,1514847600000,0.056081,hold
3689,1514851200000,0.056368,hold
3690,1514854800000,0.057125,hold
3691,1514858400000,0.062739,hold
3692,1514862000000,0.063457,hold
3693,1514865600000,0.062041,hold
3694,1514869200000,0.063591,hold
3695,1514872800000,0.064101,hold
3696,1514876400000,0.063941,hold
3697,1514880000000,0.063441,hold
3698,1514883600000,0.062853,hold
3699,1514887200000,0.062369,hold
3700,1514890800000,0.062617,hold
3701,1514894400000,0.062917,hold
3702,1514898000000,0.062431,hold
3703,1514901600000,0.06222,hold
3704,1514905200000,0.062797,hold
3705,1514908800000,0.063286,hold
3706,1514912400000,0.06342,hold
3707,1514916000000,0.062994,hold
3708,1514919600000,0.058631,hold
3709,1514923200000,0.057901,hold
3710,1514926800000,0.057854,hold
3711,1514930400000,0.058521,hold
3712,1514934000000,0.057631,hold
3713,1514937600000,0.0583,hold
3714,1514941200000,0.059302,hold
3715,1514944800000,0.05831,hold
3716,1514948400000,0.057188,hold
3717,1514952000000,0.057696,hold
3718,1514955600000,0.057476,hold
3719,1514959200000,0.058464,hold
3720,1514962800000,0.05731,hold
3721,1514966400000,0.057825,hold
3722,1514970000000,0.057948,hold
3723,1514973600000,0.058124,hold
3724,1514977200000,0.058638,hold
3725,1514980800000,0.058696,hold
3726,1514984400000,0.058708,hold
3727,1514988000000,0.05841,hold
3728,1514991600000,0.058541,hold
3729,1514995200000,0.058265,hold
3730,1514998800000,0.05804,hold
3731,1515002400000,0.058752,hold
3732,1515006000000,0.06275,hold
3733,1515009600000,0.062441,hold
3734,1515013200000,0.061135,hold
3735,1515016800000,0.06138,hold
3736,1515020400000,0.064084,hold
3737,1515024000000,0.0626,hold
3738,1515027600000,0.062229,hold
3739,1515031200000,0.060698,hold
3740,1515034800000,0.06145,hold
3741,1515042000000,0.061452,hold
3742,1515045600000,0.062661,hold
3743,1515049200000,0.062707,hold
3744,1515052800000,0.063551,hold
3745,1515056400000,0.064128,hold
3746,1515060000000,0.064178,hold
3747,1515063600000,0.064577,hold
3748,1515067200000,0.065416,hold
3749,1515070800000,0.06546,hold
3750,1515074400000,0.067696,hold
3751,1515078000000,0.069384,hold
3752,1515081600000,0.068807,hold
3753,1515085200000,0.06886,hold
3754,1515088800000,0.067374,hold
3755,1515092400000,0.065525,hold
3756,1515096000000,0.063682,hold
3757,1515099600000,0.06441,hold
3758,1515103200000,0.064352,hold
3759,1515106800000,0.063542,hold
3760,1515110400000,0.062449,hold
3761,1515114000000,0.063994,hold
3762,1515117600000,0.065081,hold
3763,1515121200000,0.065489,hold
3764,1515124800000,0.066899,hold
3765,1515128400000,0.068056,hold
3766,1515132000000,0.06732,hold
3767,1515135600000,0.069002,hold
3768,1515139200000,0.069057,hold
3769,1515142800000,0.065354,hold
3770,1515146400000,0.0626,hold
3771,1515150000000,0.061172,hold
3772,1515153600000,0.061915,hold
3773,1515157200000,0.062624,hold
3774,1515160800000,0.060796,hold
3775,1515164400000,0.06094,hold
3776,1515168000000,0.06098,hold
3777,1515171600000,0.05806,hold
3778,1515175200000,0.056746,hold
3779,1515178800000,0.058178,hold
3780,1515182400000,0.058557,hold
3781,1515186000000,0.05826,hold
3782,1515189600000,0.056588,hold
3783,1515193200000,0.054678,hold
3784,1515196800000,0.056579,hold
3785,1515200400000,0.056688,hold
3786,1515204000000,0.056546,hold
3787,1515207600000,0.059504,hold
3788,1515211200000,0.058357,hold
3789,1515214800000,0.0595,hold
3790,1515218400000,0.058914,hold
3791,1515222000000,0.059736,hold
3792,1515225600000,0.060216,hold
3793,1515229200000,0.0607,hold
3794,1515232800000,0.060928,hold
3795,1515236400000,0.059797,hold
3796,1515240000000,0.0607,hold
3797,1515243600000,0.061484,hold
3798,1515247200000,0.0608,hold
3799,1515250800000,0.060413,hold
3800,1515254400000,0.060726,hold
3801,1515258000000,0.059136,hold
3802,1515261600000,0.059454,hold
3803,1515265200000,0.059184,hold
3804,1515268800000,0.060499,hold
3805,1515272400000,0.05975,hold
3806,1515276000000,0.059625,hold
3807,1515279600000,0.05881,hold
3808,1515283200000,0.058817,hold
3809,1515286800000,0.059613,hold
3810,1515290400000,0.059808,hold
3811,1515294000000,0.06101,hold
3812,1515297600000,0.06325,hold
3813,1515301200000,0.063607,hold
3814,1515304800000,0.06597,hold
3815,1515308400000,0.065569,hold
3816,1515312000000,0.064904,hold
3817,1515315600000,0.064519,hold
3818,1515319200000,0.065358,hold
3819,1515322800000,0.065051,hold
3820,1515326400000,0.065,hold
3821,1515330000000,0.065507,hold
3822,1515333600000,0.065274,hold
3823,1515337200000,0.065541,hold
3824,1515340800000,0.06676,hold
3825,1515344400000,0.0689,hold
3826,1515348000000,0.06913,hold
3827,1515351600000,0.067783,hold
3828,1515355200000,0.068459,hold
3829,1515358800000,0.068211,hold
3830,1515362400000,0.067536,hold
3831,1515366000000,0.066515,hold
3832,1515369600000,0.069323,hold
3833,1515373200000,0.074794,hold
3834,1515376800000,0.073405,hold
3835,1515380400000,0.073399,hold
3836,1515384000000,0.077234,hold
3837,1515387600000,0.078969,hold
3838,1515391200000,0.075717,hold
3839,1515394800000,0.078089,hold
3840,1515398400000,0.075599,hold
3841,1515402000000,0.075187,hold
3842,1515405600000,0.074588,hold
3843,1515409200000,0.074697,hold
3844,1515412800000,0.074133,hold
3845,1515416400000,0.074702,hold
3846,1515420000000,0.073677,hold
3847,1515423600000,0.072402,hold
3848,1515427200000,0.07394,hold
3849,1515430800000,0.074419,hold
3850,1515434400000,0.073997,hold
3851,1515438000000,0.075197,hold
3852,1515441600000,0.075984,hold
3853,1515445200000,0.075855,hold
3854,1515448800000,0.07752,hold
3855,1515452400000,0.077143,hold
3856,1515456000000,0.076015,hold
3857,1515459600000,0.077415,hold
3858,1515463200000,0.0765,hold
3859,1515466800000,0.07804,hold
3860,1515470400000,0.079111,hold
3861,1515474000000,0.079136,hold
3862,1515477600000,0.07943,hold
3863,1515481200000,0.080264,hold
3864,1515484800000,0.08051,hold
3865,1515488400000,0.0816,hold
3866,1515492000000,0.082499,hold
3867,1515495600000,0.082061,hold
3868,1515499200000,0.08271,hold
3869,1515502800000,0.082209,hold
3870,1515506400000,0.0808,hold
3871,1515510000000,0.082543,hold
3872,1515513600000,0.082046,hold
3873,1515517200000,0.081274,hold
3874,1515520800000,0.080959,hold
3875,1515524400000,0.081555,hold
3876,1515528000000,0.082014,hold
3877,1515531600000,0.084314,hold
3878,1515535200000,0.086771,hold
3879,1515538800000,0.0889,hold
3880,1515542400000,0.089659,hold
3881,1515546000000,0.090101,hold
3882,1515549600000,0.090231,hold
3883,1515553200000,0.09199,hold
3884,1515556800000,0.096779,hold
3885,1515560400000,0.100635,hold
3886,1515564000000,0.095954,hold
3887,1515567600000,0.096216,hold
3888,1515571200000,0.094,hold
3889,1515574800000,0.097899,hold
3890,1515578400000,0.092363,hold
3891,1515582000000,0.092798,hold
3892,1515585600000,0.096,hold
3893,1515589200000,0.095582,hold
3894,1515592800000,0.096355,hold
3895,1515596400000,0.09638,hold
3896,1515600000000,0.093784,hold
3897,1515603600000,0.09171,hold
3898,1515607200000,0.091419,hold
3899,1515610800000,0.088536,hold
3900,1515614400000,0.090814,hold
3901,1515618000000,0.089487,hold
3902,1515621600000,0.087182,hold
3903,1515625200000,0.084824,hold
3904,1515628800000,0.083881,hold
3905,1515632400000,0.091498,hold
3906,1515636000000,0.08982,hold
3907,1515639600000,0.091323,hold
3908,1515643200000,0.089656,hold
3909,1515646800000,0.089693,hold
3910,1515650400000,0.088523,hold
3911,1515654000000,0.089699,hold
3912,1515657600000,0.09089,hold
3913,1515661200000,0.089954,hold
3914,1515664800000,0.090839,hold
3915,1515668400000,0.089355,hold
3916,1515672000000,0.08887,hold
3917,1515675600000,0.087473,hold
3918,1515679200000,0.087191,hold
3919,1515682800000,0.086147,hold
3920,1515686400000,0.087571,hold
3921,1515690000000,0.088153,hold
3922,1515693600000,0.089345,hold
3923,1515697200000,0.089122,hold
3924,1515700800000,0.087723,hold
3925,1515704400000,0.088167,hold
3926,1515708000000,0.087589,hold
3927,1515711600000,0.086864,hold
3928,1515715200000,0.08597,hold
3929,1515718800000,0.085946,hold
3930,1515722400000,0.087464,hold
3931,1515726000000,0.087571,hold
